ID		      n           mean        sigma       rob_mean    rob_sigma            max            min
1003.WFI.dat      79         23.386        0.351         23.263        0.357         24.302         22.890
1007.WFI.dat       4         23.653        0.112         23.672        0.101         23.765         23.501
1008.WFI.dat      12         22.776        0.347         22.690        0.047         23.870         22.612
1011.WFI.dat       3         23.404        0.109         23.396        0.081         23.526         23.317
1023.WFI.dat      15         22.252        0.319         22.225        0.162         23.242         21.830
1024.WFI.dat      31         21.975        0.356         21.896        0.336         23.059         21.497
1026.WFI.dat      57         23.139        0.350         23.110        0.319         24.038         22.513
1029.WFI.dat      69         23.351        0.177         23.333        0.185         23.694         22.914
102.WFI.dat      92         21.910        0.224         21.896        0.197         22.821         21.452
1031.WFI.dat      41         23.298        0.252         23.300        0.163         24.168         22.677
1032.WFI.dat      15         22.124        0.383         22.059        0.287         23.235         21.677
1033.WFI.dat      22         22.151        0.453         22.069        0.477         23.205         21.468
1034.WFI.dat       5         22.540        0.360         22.404        0.319         23.143         22.285
1036.WFI.dat      37         21.483        0.434         21.536        0.433         22.477         20.520
103.WFI.dat      89         21.054        0.238         21.027        0.225         22.067         20.638
1043.WFI.dat       9         21.470        0.715         21.422        0.559         23.046         20.333
1046.WFI.dat      26         22.166        0.360         22.183        0.274         22.977         21.086
1048.WFI.dat      67         23.652        0.179         23.604        0.150         24.258         23.318
1049.WFI.dat      71         23.563        0.175         23.555        0.140         24.152         23.163
1050.WFI.dat      12         22.121        0.342         22.094        0.293         22.906         21.640
1051.WFI.dat      68         23.400        0.163         23.407        0.135         23.808         22.918
1052.WFI.dat      88         23.179        0.207         23.199        0.218         23.850         22.768
1053.WFI.dat       3         22.684        0.582         22.688        0.451         23.258         22.094
1054.WFI.dat      22         23.084        0.420         23.065        0.318         24.369         22.477
1055.WFI.dat      65         23.058        0.468         23.207        0.491         24.162         22.029
1056.WFI.dat      11         22.723        0.379         22.645        0.338         23.558         22.170
1057.WFI.dat      57         23.622        0.213         23.593        0.167         24.563         23.195
1058.WFI.dat      25         22.724        0.383         22.863        0.435         23.230         22.081
1059.WFI.dat      72         23.787        0.064         23.774        0.068         23.924         23.650
105.WFI.dat      21         21.724        0.163         21.718        0.176         22.051         21.486
1060.WFI.dat      56         23.723        0.199         23.720        0.168         24.323         23.300
1061.WFI.dat      23         22.998        0.282         23.011        0.235         23.713         22.603
1062.WFI.dat       4         22.369        0.570         22.197        0.501         23.151         21.931
1063.WFI.dat       8         22.499        0.425         22.563        0.475         22.999         21.903
1064.WFI.dat      84         23.284        0.166         23.280        0.136         23.818         22.897
1065.WFI.dat      66         22.306        0.329         22.267        0.322         23.244         21.610
106.WFI.dat      26         21.475        0.233         21.392        0.216         22.232         21.162
1070.WFI.dat      55         22.261        0.267         22.240        0.251         23.194         21.706
1071.WFI.dat       3         24.738        0.951         24.851        0.672         25.381         23.646
1072.WFI.dat      58         24.384        0.130         24.400        0.135         24.663         24.007
1073.WFI.dat      46         23.751        0.256         23.719        0.214         24.565         23.125
1076.WFI.dat      73         23.750        0.127         23.757        0.110         24.093         23.388
1077.WFI.dat      26         23.553        0.416         23.547        0.389         24.414         22.566
1078.WFI.dat      31         22.901        0.355         22.835        0.380         23.570         22.149
